filename,location,difference_type,dug_2026jan_value,dug_2026jan_type,heal_cdes_value,heal_cdes_type,dug_2026jan_context,heal_cdes_context
HDPCDE7061.json,$[2].metadata.enum[11],value_mismatch, 99,str,99,str,"[
  ""0"",
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""5"",
  ""6"",
  ""7"",
  ""8"",
  ""9"",
  ""10"",
  "" 99""
]","[
  ""0"",
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""5"",
  ""6"",
  ""7"",
  ""8"",
  ""9"",
  ""10"",
  ""99""
]"
HDPCDE7346.json,$[21].name,value_mismatch,International Physical Activity Questionnaire - Short Form ,str,International Physical Activity Questionnaire - Short Form,str,"{
  ""type"": ""section"",
  ""is_crf"": true,
  ""id"": ""HDPCDE7346"",
  ""parents"": [],
  ""crf_id"": ""HDPCDE7346"",
  ""name"": ""International Physical Activity Questionnaire - Short Form "",
  ""description"": """",
  ""action"": ""https://www.nih.gov/sites/default/files/CDEs/2026-01/ipaq-lf-cde.xlsx""
}","{
  ""type"": ""section"",
  ""is_crf"": true,
  ""id"": ""HDPCDE7346"",
  ""parents"": [],
  ""crf_id"": ""HDPCDE7346"",
  ""name"": ""International Physical Activity Questionnaire - Short Form"",
  ""description"": """",
  ""variable_list"": [
    ""IPAQSFVigPhysActDayNum"",
    ""IPAQSFNoVigActYN"",
    ""IPAQSFVigActHoursVal"",
    ""IPAQSFVigActMinVal "",
    ""IPAQSFVigActTimeUKYN"",
    ""IPAQSFModPhysActVal"",
    ""IPAQNoModPhysActSF "",
    ""IPAQSFmodPhysActHrsVal"",
    ""IPAQSFmodPhyActMinVal"",
    ""IPAQSFmodPhyActNotSureYN"""
HDPCDE7626.json,$[0].metadata.enum[0],value_mismatch,0 ,str,0,str,"[
  ""0 "",
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""5"",
  ""6"",
  ""7"",
  ""8"",
  ""9"",
  ""10""
]","[
  ""0"",
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""5"",
  ""6"",
  ""7"",
  ""8"",
  ""9"",
  ""10""
]"
HDPCDE7636.json,$[19].name,value_mismatch,Photosensitivity Assessment Questionnaire ,str,Photosensitivity Assessment Questionnaire,str,"{
  ""type"": ""section"",
  ""is_crf"": true,
  ""id"": ""HDPCDE7636"",
  ""parents"": [],
  ""crf_id"": ""HDPCDE7636"",
  ""name"": ""Photosensitivity Assessment Questionnaire "",
  ""description"": """",
  ""action"": ""https://www.nih.gov/sites/default/files/CDEs/2026-01/paq-cde.xlsx""
}","{
  ""type"": ""section"",
  ""is_crf"": true,
  ""id"": ""HDPCDE7636"",
  ""parents"": [],
  ""crf_id"": ""HDPCDE7636"",
  ""name"": ""Photosensitivity Assessment Questionnaire"",
  ""description"": """",
  ""variable_list"": [
    ""paq_date"",
    ""paq_1"",
    ""paq_2"",
    ""paq_3"",
    ""paq_4"",
    ""paq_5"",
    ""paq_6"",
    ""paq_7"",
    ""paq_8"",
    ""paq_9"",
    ""paq_10"",
    ""paq_11"",
    ""paq_12"",
    ""paq_13"",
    ""paq_14"",
    ""paq_15"",
    ""paq_16"",
    ""paq_phi_sum"",
    ""paq_pho_sum""
  ],
  ""metadata"": {},
  ""act"
HDPCDE7886.json,$[22].name,value_mismatch,PROMIS Item Bank v.2.0 - Pain Behavior Scale ,str,PROMIS Item Bank v.2.0 - Pain Behavior Scale,str,"{
  ""type"": ""section"",
  ""is_crf"": true,
  ""id"": ""HDPCDE7886"",
  ""parents"": [],
  ""crf_id"": ""HDPCDE7886"",
  ""name"": ""PROMIS Item Bank v.2.0 - Pain Behavior Scale "",
  ""description"": """",
  ""action"": ""https://www.nih.gov/sites/default/files/CDEs/2026-01/promis-pain-behavior-item-bank-v2.0-cde.xlsx""
}","{
  ""type"": ""section"",
  ""is_crf"": true,
  ""id"": ""HDPCDE7886"",
  ""parents"": [],
  ""crf_id"": ""HDPCDE7886"",
  ""name"": ""PROMIS Item Bank v.2.0 - Pain Behavior Scale"",
  ""description"": """",
  ""variable_list"": [
    ""PBSsquirmedScl"",
    ""PBSgrimaceScl"",
    ""PBSgroanedScl"",
    ""PBSkneeScl"",
    ""PBSpursedLipsScl"",
    ""PBSmedicationScl"",
    ""PBSavoidContactScl"",
    ""PBStalkPainScl"",
    ""PBSrubSiteScl"",
    ""PBSuseObjectsScl"",
    ""PBSbreathChangeScl"",
    ""PBSbreaksScl"",
    ""PBSregChoresScl"",
  "
HDPCDE8241.json,$[0].metadata.enum[1],value_mismatch, 2,str,2,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 5""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""5""
]"
HDPCDE8241.json,$[0].metadata.enum[2],value_mismatch, 3,str,3,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 5""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""5""
]"
HDPCDE8241.json,$[0].metadata.enum[3],value_mismatch, 4,str,4,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 5""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""5""
]"
HDPCDE8241.json,$[0].metadata.enum[4],value_mismatch, 5,str,5,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 5""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""5""
]"
HDPCDE8241.json,$[1].metadata.enum[1],value_mismatch, 2,str,2,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 5""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""5""
]"
